Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
LOC401127,0.110895403,5.829138155,0.220498091,0.825668746,0.908669904,-4.601308465
FLJ14107,0.110360821,1.155611262,0.382301494,0.702572512,0.838516184,-4.60067611
ST7OT3,0.109960189,1.377221724,0.394126685,0.693833799,0.833574988,-4.600616609
CTNNBL1,0.109329045,888.8366256,0.00168625,0.998655954,0.999210238,-4.601623853
GPR135,0.107777551,11.19180015,0.061357894,0.951124714,0.974767008,-4.601599444
HIST1H2BM,0.106594032,0.945484941,0.315030489,0.753009358,0.869836895,-4.600980183
HIST1H3I,0.105508894,1.071674969,0.279528261,0.780077671,0.884160231,-4.601117045
MIF4GD,0.104222498,402.5732756,0.005120479,0.995918675,0.997323615,-4.601623701
GPR21,0.10140697,2.019080232,0.198559161,0.842773933,0.918310865,-4.601368097
MBL1P,0.100420647,4.583244497,0.077352701,0.938406738,0.967827615,-4.601585049
GRK7,0.099694923,0.613479147,0.396863699,0.691816943,0.83247846,-4.60060258
BRD7P3,0.097951038,0.965882388,0.29787138,0.766056321,0.876359049,-4.601048369
ITGB1BP2,0.093800285,14.56087183,0.014796016,0.988207081,0.993929466,-4.601622451
C3orf65,0.09200464,0.281787277,0.39186134,0.695504744,0.834963673,-4.600628148
DSCR9,0.091473865,2.728123524,0.159642852,0.873295282,0.934848542,-4.601458523
CDH4,0.087208338,1.707839941,0.107982934,0.914098501,0.955991608,-4.601548217
TRIM67,0.085841945,3.449162979,0.136360517,0.891649396,0.943851121,-4.601503232
LOC100272217,0.085647577,23.27990969,0.039602677,0.968442471,0.983598806,-4.601613695
LOC494141,0.080685524,0.860476427,0.320012849,0.749234082,0.86750356,-4.60095967
SNORA62,0.078914289,0.217519308,0.402338469,0.687789291,0.829885932,-4.600574227
MBD5,0.074471759,198.4634287,0.006177661,0.995076049,0.996900814,-4.601623624
NPPA,0.073498159,2.032612572,0.203698557,0.838759868,0.917266416,-4.601354688
SCARNA2,0.070818044,12.73929456,0.030484748,0.975705526,0.987499636,-4.601617842
FHIT,0.070165993,63.19971267,0.010279757,0.991806535,0.995188533,-4.601623186
C11orf42,0.068938468,0.984594749,0.264602865,0.791540124,0.89103958,-4.601169709
PCDHGB4,0.068461047,14.88215105,0.020431269,0.983716138,0.991775005,-4.601621163
RNASE7,0.065654546,5.456846314,0.017993382,0.985658926,0.992650708,-4.601621771
CELF3,0.065000482,13.33370492,0.011508166,0.990827474,0.99454323,-4.601623012
SPTBN5,0.064822808,93.67354597,0.00465639,0.996288579,0.997632851,-4.601623731
HBG2,0.064136191,1.019540665,0.140272111,0.888561415,0.942537826,-4.601496212
IGLL3,0.062065152,1.072837469,0.183823776,0.854305288,0.924888431,-4.601404646
CRIPT,0.061482476,438.7195758,0.002578732,0.997944592,0.998801039,-4.601623828
SNORA74A,0.057694015,0.739921715,0.222754836,0.82391379,0.907907222,-4.601301977
LOC342346,0.057312339,1.607375799,0.14158419,0.887525982,0.942120724,-4.601493812
MRS2P2,0.057102737,1.262626411,0.179130662,0.857984651,0.92708904,-4.601415696
LRRN3,0.056409064,19.3502913,0.008036661,0.993594347,0.996218061,-4.601623452
C2orf52,0.054645211,5.002638773,0.087102495,0.930661907,0.964213506,-4.601574646
ACRV1,0.053755382,1.832261583,0.158107895,0.874503333,0.935402224,-4.601461687
SUMO4,0.052716332,0.914331952,0.221938143,0.824548789,0.908210759,-4.601304333
ICA1L,0.04485336,98.82860388,0.002589404,0.997936085,0.998801039,-4.601623828
PCDHB19P,0.04477158,6.170370003,0.049402051,0.96063955,0.979679648,-4.601608036
HIST1H3A,0.042864413,2.270548106,0.057598365,0.954115975,0.976205877,-4.601602346
CATSPER3,0.039629169,13.0246739,0.025623264,0.979578899,0.989151134,-4.601619612
AQPEP,0.038740819,4.227255063,0.042183573,0.966387062,0.982698154,-4.601612326
CRYGS,0.033241236,26.5867245,0.00812635,0.993522862,0.996218061,-4.601623443
HYMAI,0.032855473,1.794511158,0.090134578,0.928254658,0.963011841,-4.601571159
TSLP,0.032550894,13.7502456,0.011528683,0.990811122,0.99454323,-4.601623009
FAM78B,0.028624665,21.90313322,0.012520917,0.990020308,0.994252271,-4.601622854
CAPN11,0.027944394,3.083397967,0.044625955,0.964442172,0.981392791,-4.60161095
WDFY2,0.027321743,198.654655,0.001920876,0.998468942,0.999210238,-4.601623848
C5orf27,0.026954291,1.546965291,0.071030723,0.943431836,0.9704159,-4.601591135
ADAM20,0.024947664,0.9832955,0.096485441,0.923214711,0.96051275,-4.601563469
LOC100129716,0.024663666,10.22785244,0.028616125,0.977194283,0.988335446,-4.601618558
C7orf54,0.02325383,1.837220014,0.049376557,0.960659845,0.979679648,-4.601608052
LCTL,0.021034326,1.587356452,0.072976671,0.941884825,0.9696799,-4.601589317
KIAA0087,0.020104603,1.272802582,0.035396825,0.97179243,0.985263422,-4.601615742
LOC100131496,0.017651164,2.98851272,0.033641599,0.973190618,0.986028971,-4.601616528
LOC728640,0.014094669,53.02070879,0.003621471,0.997113467,0.998213966,-4.601623786
FLJ42709,0.012793855,82.71323546,0.000947168,0.999245048,0.999661111,-4.601623866
TAF7L,0.009700951,3.822684109,0.009212049,0.992657525,0.99564562,-4.601623321
ZACN,0.007390462,1.649284154,0.01557282,0.987587992,0.993490397,-4.601622298
OPRL1,0.004585476,37.67020952,0.000703582,0.999439201,0.999684116,-4.601623868
PLAC1,0.001499138,5.147594106,0.000563214,0.999551083,0.999734779,-4.60162387
NCRNA00169,-0.000124631,3.695451641,-0.000260716,0.999792193,0.9997925,-4.601623871
SUGT1P1,-0.002900196,1.366300325,-0.007475148,0.994041895,0.99640778,-4.601623509
CAGE1,-0.003414127,1.050165121,-0.011187953,0.991082688,0.994721725,-4.601623059
MCF2,-0.005874025,1.739580623,-0.010517597,0.991616972,0.995090984,-4.601623154
SPIN2A,-0.006032052,0.832267729,-0.02562592,0.979576782,0.989151134,-4.601619611
SCARNA9L,-0.008287334,0.054250572,-0.039812793,0.968275127,0.983576682,-4.601613587
NUP210L,-0.009142032,1.258904488,-0.019453011,0.984495715,0.992108678,-4.601621416
TULP2,-0.012801915,0.798280086,-0.041979369,0.966549681,0.982802307,-4.601612437
FBXO17,-0.017864149,95.04450973,-0.000809255,0.999354973,0.999661111,-4.601623867
UPK3A,-0.018095534,7.854608827,-0.003287906,0.997379338,0.998357701,-4.601623801
ACOT6,-0.01888922,1.499312235,-0.055102841,0.956101894,0.977474992,-4.601604171
KLHL10,-0.019095437,0.941082251,-0.062153378,0.950491876,0.974424266,-4.601598806
AGBL3,-0.019237104,5.6120551,-0.021228879,0.983080531,0.991517973,-4.601620947
NCRNA00235,-0.019462743,0.941942997,-0.076580408,0.939020476,0.968307387,-4.60158582
ZNF772,-0.020410133,64.79344676,-0.001822708,0.998547189,0.999210238,-4.60162385
ERVFRDE1,-0.026653807,1.714419738,-0.041541223,0.966898605,0.982952036,-4.601612675
LOC285593,-0.028170135,1.580147247,-0.082373284,0.934417817,0.966073942,-4.601579846
MIP,-0.030625849,1.660598993,-0.083370923,0.933625373,0.96556583,-4.601578773
LOC285456,-0.032629946,0.681864339,-0.13601783,0.891920007,0.943962514,-4.601503837
RS1,-0.032646657,1.919445941,-0.037532986,0.970090912,0.984150319,-4.601614731
SPEF1,-0.033901554,87.21634943,-0.000950145,0.999242675,0.999661111,-4.601623866
BTBD18,-0.034999168,0.985816617,-0.111885293,0.911006894,0.95445325,-4.60154265
EPX,-0.038483464,0.975571215,-0.160602794,0.872539933,0.93468709,-4.601456529
LOC440563,-0.039821038,0.597944024,-0.178734111,0.858295686,0.927163501,-4.601416616
ZNF676,-0.039950682,2.025851696,-0.057895959,0.95387917,0.976205877,-4.601602123
MPRIP,-0.040086056,1931.481528,-0.000392466,0.99968718,0.9997925,-4.601623871
ANKRD20B,-0.041081578,5.119463836,-0.048934735,0.961011578,0.979679648,-4.601608334
MLF1,-0.046894169,240.9203176,-0.000819032,0.99934718,0.999661111,-4.601623867
CORO6,-0.047856742,22.43539174,-0.00622434,0.995038843,0.996900814,-4.60162362
MESTIT1,-0.050649247,1.467692952,-0.120862967,0.903899638,0.95055907,-4.601529094
HCG4P6,-0.054658053,5.701984842,-0.068557907,0.94539801,0.971407733,-4.601593375
SEC31A,-0.055605203,3499.596342,-0.000260331,0.9997925,0.9997925,-4.601623871
DPY19L2P4,-0.055986291,4.601129276,-0.038688747,0.96917037,0.983812772,-4.601614159
TGM4,-0.058059773,1.65186257,-0.105525748,0.916045858,0.95707946,-4.601551621
ZNF257,-0.061916796,10.74175769,-0.025286716,0.979847061,0.989320788,-4.601619723
SLC12A3,-0.062632887,7.662182037,-0.015982745,0.987261297,0.993379689,-4.601622214
POM121L1P,-0.070352571,2.212756938,-0.172453658,0.863224702,0.929628607,-4.601430924
KCNJ1,-0.073152854,1.754639393,-0.137472937,0.890771033,0.943349462,-4.601501255
LOC374491,-0.073352695,2.509875477,-0.185098906,0.853306143,0.924235731,-4.601401595
OCLM,-0.074024516,3.331277207,-0.145279256,0.884611047,0.940547314,-4.601486936
FAM7A2,-0.075838084,1.9600314,-0.165019668,0.86906595,0.932521015,-4.601447199
RNF222,-0.075978572,1.401664118,-0.167002591,0.867507154,0.931652529,-4.601442928
LHX4,-0.076614404,4.657360705,-0.119291119,0.905143462,0.95124063,-4.601531543
UBE2Q2P1,-0.077282623,12.9027939,-0.049837926,0.96029256,0.979631064,-4.601607755
PKDREJ,-0.080649774,12.79436207,-0.058564938,0.953346859,0.975819332,-4.601601617
GDAP1L1,-0.080754687,2.136441546,-0.087240101,0.930552645,0.964213506,-4.60157449
DYSFIP1,-0.082219491,1.293214117,-0.197963127,0.843239726,0.918634484,-4.60136963
INHBC,-0.082533515,1.084544713,-0.224197355,0.822792481,0.907309957,-4.601297796
DLEU1,-0.083855128,151.3482857,-0.00818818,0.993473581,0.996218061,-4.601623437
LYG2,-0.084560439,2.033211505,-0.134279539,0.893292887,0.944549767,-4.601506885
ATP5L2,-0.086798877,1.589091182,-0.312311575,0.755072072,0.870564347,-4.600991241
SLED1,-0.088980765,1.297015743,-0.258187577,0.796481088,0.893940106,-4.601191458
ARL10,-0.089058036,14.45744935,-0.043775334,0.965119505,0.981959628,-4.601611438
IL23R,-0.089940907,3.137467218,-0.121869394,0.903103363,0.950158347,-4.601527509
PCDHB11,-0.090141324,49.75111321,-0.011055722,0.991188078,0.994721725,-4.601623078
C14orf178,-0.091816623,0.823075206,-0.341788183,0.732806245,0.857075132,-4.600866248
HUS1B,-0.097723125,2.766590761,-0.229007785,0.819055843,0.905300728,-4.601283656
PRO0611,-0.100119912,0.378713525,-0.456417473,0.648498236,0.802797105,-4.600273351
RCVRN,-0.101396696,2.028009112,-0.185584698,0.852925557,0.924036491,-4.601400427
ZNF157,-0.10188294,0.843922363,-0.357071518,0.721348735,0.850632164,-4.600797014
ABCC11,-0.104599795,4.138874355,-0.078385973,0.937585659,0.967388843,-4.601584005
CEP170L,-0.104655653,3.525595306,-0.215946848,0.829210673,0.9105667,-4.601321349
RPL29P2,-0.105298108,0.470391225,-0.384766432,0.700747631,0.837831535,-4.600663856
AMHR2,-0.105604808,0.763477828,-0.328607877,0.742735623,0.863821238,-4.600923528
RAB41,-0.105972545,1.189825764,-0.406139398,0.684998265,0.828012635,-4.600554314
PHEX,-0.10916212,4.805521457,-0.074539772,0.940642335,0.968889496,-4.601587821
FLJ39739,-0.110680137,4.270784001,-0.181091981,0.85644661,0.926302297,-4.601411113
KCTD16,-0.111291814,3.16813051,-0.086757663,0.930935719,0.964306075,-4.601575035
HIST1H4I,-0.113561951,2.022631731,-0.282779851,0.777586777,0.883204928,-4.601105189
CECR6,-0.117588113,32.27134813,-0.018847883,0.98497795,0.992270932,-4.601621567
ZFP57,-0.119623292,11.81743193,-0.013215476,0.989466746,0.99415914,-4.601622738
C21orf71,-0.120385475,1.501894701,-0.365416252,0.715119172,0.846314201,-4.600757936
ANP32C,-0.120975329,4.255951425,-0.312750687,0.754738818,0.870450518,-4.600989462
MYOT,-0.121923134,4.239212441,-0.061714705,0.950840853,0.974654674,-4.601599159
GJC3,-0.123408138,0.752128617,-0.435087921,0.663885494,0.813090105,-4.600396532
UNC80,-0.125084042,3.572313721,-0.119100186,0.905294566,0.95124063,-4.601531838
FOXD4L2,-0.129889891,6.809596318,-0.136772303,0.891324235,0.943690474,-4.601502502
LOC284009,-0.131740096,0.864446661,-0.535517064,0.59278304,0.764148118,-4.59976528
FLJ37201,-0.133535015,8.18545092,-0.167466056,0.867142894,0.931652529,-4.601441922
GCNT7,-0.134501299,0.384636632,-0.634346099,0.526452812,0.71463099,-4.599017211
C1QTNF9,-0.135023166,8.568317929,-0.089327522,0.928895338,0.963047637,-4.601572099
KCNE1L,-0.136435205,3.134085652,-0.202377605,0.839791184,0.917510082,-4.601358167
SHISA7,-0.137055406,1.34805973,-0.159802185,0.8731699,0.934835735,-4.601458193
PRDM12,-0.138100781,3.479092846,-0.24633007,0.805635073,0.898531583,-4.601230254
SLC8A3,-0.138261272,3.121953248,-0.187785994,0.851201418,0.923512493,-4.601395095
LOC121952,-0.139598647,1.210030343,-0.425008273,0.671207441,0.817394189,-4.600452699
LOC347376,-0.146043393,0.644071305,-0.66503691,0.506658726,0.699553237,-4.598759346
CXorf50B,-0.150057538,3.205947313,-0.194803622,0.845709759,0.920281474,-4.60137768
KIAA0895,-0.155860381,289.8561515,-0.005880004,0.995313296,0.996900814,-4.601623647
C9orf128,-0.155963647,2.926073046,-0.204928681,0.837799716,0.9168067,-4.601351427
KIAA1377,-0.157218758,115.8246818,-0.006898856,0.994501223,0.996637704,-4.601623563
HFM1,-0.158702913,3.101787739,-0.156403725,0.875844903,0.93588803,-4.601465164
FKBP6,-0.160362247,2.591691108,-0.165924041,0.868354949,0.932143795,-4.601445257
MEIG1,-0.161301643,3.96403099,-0.131937827,0.895142848,0.945326314,-4.60151093
RASL10A,-0.161558065,7.643829532,-0.121388778,0.90348361,0.950458565,-4.601528267
FAM7A3,-0.164329887,4.047114542,-0.244893695,0.806745803,0.899321908,-4.60123483
HIST1H2BG,-0.164652835,18.41073039,-0.044701078,0.964382354,0.981392791,-4.601610906
SLC5A10,-0.164663298,4.039304741,-0.352581844,0.724708137,0.852226286,-4.600817666
RECK,-0.167339847,143.4844365,-0.006154818,0.995094256,0.996900814,-4.601623626
C7orf10,-0.173542088,32.36292144,-0.026528719,0.97885744,0.988985256,-4.601619305
DOCK3,-0.173671937,24.3527563,-0.031264412,0.975084383,0.987176953,-4.601617529
INCENP,-0.17488017,736.6466072,-0.003366161,0.997316964,0.998356473,-4.601623798
HIST2H2AB,-0.176194514,1.582318022,-0.352897483,0.724471785,0.852160609,-4.600816222
C17orf99,-0.179158638,2.176595064,-0.373523119,0.709085408,0.841491311,-4.60071911
MED7,-0.179876657,224.8911466,-0.018512073,0.985245566,0.992418061,-4.601621648
NTN5,-0.182770137,9.693460408,-0.099126572,0.921119651,0.959467678,-4.601560117
HIST1H4A,-0.183622069,1.188036137,-0.507177946,0.612490775,0.779251685,-4.599956584
C5orf53,-0.183945767,223.1914327,-0.010166201,0.991897041,0.995188533,-4.601623201
ANO2,-0.185763419,8.269100374,-0.111796805,0.911076983,0.95445325,-4.601542779
NCRNA00175,-0.187524389,0.597954883,-0.707003969,0.480242694,0.679514903,-4.59838717
FAM166A,-0.187742145,1.441929811,-0.487539129,0.626316686,0.788569783,-4.600083081
SEPT7L,-0.188285862,0.808702138,-0.83827369,0.40270233,0.612247039,-4.597077441
WBP2NL,-0.189213663,3.352750195,-0.302974675,0.76216885,0.874547109,-4.601028488
PTGER1,-0.189854416,7.034895576,-0.059289783,0.952770119,0.9754809,-4.601601063
GPR113,-0.193157267,9.019779973,-0.175075207,0.861166599,0.928672821,-4.601425014
GRM1,-0.193481313,2.611886504,-0.15793691,0.87463792,0.935426001,-4.601462037
LOC100131726,-0.194656932,1.650629936,-0.298482909,0.76559017,0.876359049,-4.601046005
LOC154822,-0.195278255,5.960445212,-0.124947049,0.900668965,0.948907672,-4.60152258
JMJD5,-0.196033227,86.69487212,-0.040875904,0.967428454,0.983205999,-4.60161303
SNORA39,-0.197451099,5.123416459,-0.310103668,0.756748403,0.871819869,-4.601000151
QRFP,-0.199769589,1.332619384,-0.68052798,0.496819306,0.692645275,-4.598624598
C6orf81,-0.201370552,2.764826287,-0.339218738,0.734738468,0.858518212,-4.600877591
LOC728613,-0.204394526,127.1963659,-0.019391461,0.984544765,0.992108678,-4.601621432
DPY19L2P1,-0.20481955,6.877207878,-0.086208866,0.931371505,0.964451232,-4.60157565
FAM109A,-0.209402742,695.815428,-0.004114364,0.996720603,0.99795644,-4.601623762
RLN2,-0.209798296,5.727253154,-0.199171881,0.842295157,0.918221569,-4.601366517
HIST1H3G,-0.211069487,8.507325248,-0.092317487,0.926521998,0.962359226,-4.601568575
SMAD5OS,-0.21343306,3.933563056,-0.352244853,0.724960507,0.852347921,-4.600819205
LOC256880,-0.213704478,5.174185925,-0.273654849,0.784582767,0.886697008,-4.601138113
ASB14,-0.21536574,9.933269438,-0.274442038,0.783978542,0.886557585,-4.601135315
WDR5B,-0.216064278,247.044747,-0.014170739,0.988705413,0.994019918,-4.601622569
APOBEC4,-0.216702149,29.50836625,-0.016150189,0.987127851,0.993379689,-4.601622179
LOC286002,-0.217469614,4.038576711,-0.175015268,0.861213645,0.928672821,-4.60142515
DNAJC28,-0.218038099,24.25926175,-0.124411845,0.901092239,0.949231111,-4.601523446
TSGA10IP,-0.220425096,2.568186718,-0.155047653,0.876912697,0.936203074,-4.601467904
POM121L10P,-0.224828094,7.188942775,-0.225415087,0.821846187,0.906952704,-4.601294245
CALML6,-0.225791489,2.256419768,-0.386881114,0.699183441,0.836918478,-4.600653281
LHFPL4,-0.227410609,9.170317303,-0.039269282,0.968708,0.983633928,-4.601613866
LOC400927,-0.230595358,25.82627459,-0.091902486,0.926851374,0.962568125,-4.601569071
MAP7D2,-0.231470831,42.1698789,-0.015816485,0.987393799,0.993379689,-4.601622248
HS6ST2,-0.2329188,189.3675372,-0.006720208,0.994643614,0.996719222,-4.601623579
GEMIN8P4,-0.234154235,30.51593437,-0.0829833,0.933933262,0.965695273,-4.601579191
LOC100128573,-0.234373933,1.010452984,-0.946675795,0.344746174,0.559065241,-4.59583014
STAG3L4,-0.236598164,173.5091401,-0.01923841,0.984666733,0.992141061,-4.60162147
EFCAB5,-0.244656441,4.996181384,-0.318389626,0.750463385,0.868029561,-4.600966388
ZNF333,-0.248690658,158.7162989,-0.023834118,0.981004522,0.989978418,-4.601620186
PFKFB1,-0.252389639,3.346033414,-0.564756846,0.572761097,0.748297226,-4.599557049
LOC100132215,-0.253617357,12.46728135,-0.118784578,0.905544345,0.95124063,-4.601532325
WDR17,-0.257257804,6.963521472,-0.110495118,0.912108094,0.955153705,-4.601544656
POM121L8P,-0.258192986,2.112235608,-0.564161396,0.573165591,0.748645968,-4.599561399
SLC25A18,-0.263919456,9.570192999,-0.185605708,0.852909098,0.924036491,-4.601400376
CDYL2,-0.265279387,42.02240361,-0.052901331,0.957854068,0.978469835,-4.601605713
CPNE9,-0.268393768,3.145824972,-0.394560136,0.693514251,0.833432002,-4.600614394
C17orf50,-0.270320203,1.924572897,-0.522160902,0.602034852,0.771358631,-4.599856731
MGC16025,-0.270699147,1.691253698,-0.461033416,0.645187763,0.800368324,-4.60024592
LCNL1,-0.273758356,2.816866599,-0.250161108,0.802674517,0.896883852,-4.601217919
BAAT,-0.276648438,11.25561113,-0.041492069,0.96693775,0.982952036,-4.601612701
EFHA1,-0.277705913,864.5251869,-0.006133497,0.99511125,0.996900814,-4.601623627
ASTL,-0.279572733,3.668152181,-0.27507613,0.783491926,0.886525821,-4.601133056
LANCL3,-0.283032968,14.96426501,-0.082186053,0.934566545,0.966105355,-4.601580046
TAC3,-0.283052016,12.40323412,-0.078919142,0.937162008,0.96713508,-4.60158346
CHAD,-0.286329659,13.77450404,-0.04700925,0.962544538,0.980657674,-4.601609533
WNT9B,-0.2880034,1.774172515,-0.357514926,0.721017246,0.850335783,-4.60079496
ZNF829,-0.288270505,6.042573829,-0.339748555,0.734339908,0.85817534,-4.600875259
KCNH7,-0.291195822,0.836027195,-0.652780338,0.51451613,0.705095254,-4.598863777
RUFY2,-0.291723867,266.9002338,-0.020227873,0.983878223,0.991775005,-4.601621217
HIST1H4C,-0.294026072,1.871335857,-0.625405884,0.532292682,0.718868337,-4.599090051
PMCH,-0.294443686,6.217170136,-0.112089034,0.910845519,0.95445325,-4.601542354
ALOX12B,-0.295996517,9.723216948,-0.112081167,0.91085175,0.95445325,-4.601542365
C10orf105,-0.300893779,5.902882595,-0.210043471,0.833810075,0.91397179,-4.60133766
PRICKLE4,-0.301705524,80.58116828,-0.033597494,0.973225752,0.986028971,-4.601616547
FOXD4L6,-0.302612973,5.48644114,-0.357695108,0.720882559,0.850238354,-4.600794125
SCN5A,-0.303929257,17.96051033,-0.056787895,0.95476091,0.976593245,-4.601602947
SLC22A14,-0.310540186,1.649708572,-0.770152989,0.441958603,0.648150373,-4.597784613
C1orf182,-0.31216419,6.168973391,-0.323880654,0.746307495,0.86602434,-4.600943524
GALR3,-0.316237118,0.565510869,-1.151626588,0.250608458,0.462065556,-4.593064978
NCRNA00167,-0.317511042,2.281007571,-0.799567782,0.424743599,0.632390001,-4.597486524
AKNAD1,-0.320601887,1.299892019,-0.71972569,0.472386837,0.673183197,-4.59826989
KRTAP5-8,-0.320983923,1.096063488,-1.044259626,0.29740492,0.51186326,-4.594579722
CCDC89,-0.322414521,16.43370253,-0.081827365,0.934851478,0.96620521,-4.601580427
WDR63,-0.326520995,28.42600854,-0.021512472,0.982854541,0.991416415,-4.601620869
C21orf82,-0.329133734,3.27077828,-0.621883516,0.534602571,0.720468515,-4.599118467
SPDYE1,-0.334088194,8.799574745,-0.346711225,0.729108882,0.854587343,-4.600844276
C8orf46,-0.337378374,4.590973639,-0.150133712,0.880783894,0.938494984,-4.601477632
C9orf93,-0.340101941,51.59225198,-0.074136829,0.940962616,0.969035992,-4.60158821
DIO1,-0.341359063,8.367130205,-0.061023756,0.951390542,0.974913818,-4.601599709
LOC730668,-0.344795674,1.924324337,-0.751052116,0.453349343,0.657009508,-4.597972256
CCDC13,-0.347298631,26.50432605,-0.050238801,0.959973439,0.979470462,-4.601607495
SLC6A17,-0.348160546,8.251958536,-0.122841901,0.902334018,0.949865088,-4.601525965
CCDC3,-0.350894095,402.1440681,-0.004097584,0.996733979,0.99795644,-4.601623763
PPM1E,-0.351181701,18.26057811,-0.059977312,0.952223093,0.975185598,-4.601600531
ACTA1,-0.35236534,3.229639661,-0.537975946,0.591086946,0.762899333,-4.599748193
C4orf38,-0.353232078,6.872603935,-0.380198768,0.704130598,0.839216876,-4.6006865
ZNF283,-0.355504288,55.59180428,-0.101220505,0.919459042,0.958866108,-4.601557395
ZNF98,-0.356390934,2.901791744,-0.590654916,0.555301614,0.734300596,-4.599363423
HSPA12B,-0.357114079,95.72316874,-0.021902039,0.982544105,0.991225754,-4.601620759
FAM106A,-0.357789608,2.969604796,-0.593279556,0.553546887,0.733048911,-4.599343318
PFN4,-0.362208893,4.697049484,-0.395724367,0.69265623,0.832909709,-4.600608431
EXOC3L,-0.367974413,72.16157166,-0.057513112,0.954183814,0.976205877,-4.601602409
LOC100134368,-0.37054169,2.765367312,-1.056827936,0.291641576,0.505159347,-4.594409917
C6orf163,-0.372461468,11.0701235,-0.220328768,0.825800455,0.908669904,-4.601308949
CHRNB4,-0.373910241,3.948156345,-0.327678668,0.743437293,0.864167783,-4.600927481
FUT5,-0.376248253,0.969050328,-0.902759031,0.367549448,0.580197219,-4.596353472
LRRIQ4,-0.376406885,10.09871537,-0.187123493,0.851720239,0.923866353,-4.601396706
FLJ42289,-0.381708472,8.238355665,-0.402286214,0.687827691,0.829885932,-4.600574499
ZNF727,-0.385118293,1.402418186,-0.568215295,0.570414446,0.746306327,-4.599531691
COL19A1,-0.390376745,5.142413804,-0.109353495,0.913012535,0.95546696,-4.601546284
PRH2,-0.394323684,5.112389071,-0.600932561,0.548446056,0.730262498,-4.59928419
ASB12,-0.397490563,10.56704134,-0.196066394,0.844722367,0.919636066,-4.601374478
PMS2L3,-0.398153886,48.23411752,-0.115745661,0.907949887,0.952999041,-4.601536949
VN1R1,-0.401037094,5.314161604,-0.467851323,0.640311013,0.796869351,-4.6002049
C1orf223,-0.402648548,1.288627383,-1.150289036,0.251157679,0.462566433,-4.593084741
RDH14,-0.408200241,372.4411908,-0.026771726,0.978663818,0.988985256,-4.601619221
MYO1H,-0.408230244,3.660883865,-0.302394569,0.762610448,0.874746437,-4.601030765
RAB40A,-0.408732561,4.691169137,-0.58995949,0.555767005,0.734783006,-4.599368735
SEZ6,-0.413215181,3.481371688,-0.156474605,0.875789097,0.93588803,-4.60146502
LQK1,-0.421053252,33.75308864,-0.104070312,0.917199552,0.957488305,-4.6015536
DGKE,-0.421326122,306.0465144,-0.01581961,0.987391309,0.993379689,-4.601622248
OR2B6,-0.423462898,1.591632013,-0.905568796,0.366062795,0.579316728,-4.596320724
NNAT,-0.424656015,18.0583975,-0.0701646,0.944120465,0.970937507,-4.601591929
KIF4B,-0.427338056,11.78481356,-0.370092488,0.711636537,0.843537806,-4.600735644
CROCCL2,-0.428456127,46.73986462,-0.107366777,0.914586766,0.956288803,-4.601549078
CLK2P,-0.43030396,18.59939888,-0.28893285,0.772879557,0.880284877,-4.601082379
LOC100133612,-0.439081241,11.03458291,-0.267893974,0.789008611,0.889589365,-4.601158344
LOC388242,-0.439319621,36.56720507,-0.059797816,0.952365905,0.975243234,-4.60160067
ACSBG1,-0.443692976,18.06170343,-0.062951813,0.949856722,0.974090573,-4.601598158
CDKL3,-0.446693229,20.96946414,-0.246117558,0.805799381,0.898653449,-4.601230933
PRB3,-0.44846613,1.205392771,-0.907498792,0.36504382,0.578377696,-4.596298171
SCN11A,-0.449003445,5.456838044,-0.226878414,0.820709388,0.906140551,-4.601289952
C1orf113,-0.452219162,160.9951444,-0.0283845,0.977378827,0.988335446,-4.601618644
WSCD2,-0.453550345,36.13571556,-0.024689421,0.980322993,0.98963685,-4.601619916
ZNF493,-0.454057152,190.0558461,-0.026217308,0.979105568,0.989034985,-4.601619412
LOC442308,-0.455567611,1.03418253,-1.447841755,0.148952656,0.333235135,-4.588138088
SPDYE2,-0.459231288,1.489695898,-1.512175368,0.131791068,0.308982305,-4.586924372
SLC10A1,-0.460200168,0.870629103,-1.580489529,0.115297958,0.283793112,-4.585579996
PGM5P2,-0.460629425,6.00519218,-0.201661352,0.840350504,0.91765468,-4.601360044
FABP5L3,-0.466823601,1.459775899,-1.246135386,0.213916943,0.419534166,-4.5916118
FSIP1,-0.468288537,7.824481078,-0.414840741,0.67862518,0.823629418,-4.600508026
GOLGA6L5,-0.471001534,27.81518847,-0.152926576,0.878583322,0.937373711,-4.601472142
HORMAD1,-0.475238469,4.677020167,-0.199478219,0.842055808,0.91811762,-4.601365724
ZNF781,-0.479680687,15.12233201,-0.161683068,0.871690039,0.93423154,-4.60145427
TMOD4,-0.482865767,2.310209484,-1.23016574,0.219826831,0.426007439,-4.591865201
SLC13A4,-0.485505698,9.016624921,-0.144166802,0.885488467,0.94098999,-4.601489025
LOC643763,-0.485607815,7.292904222,-0.168625012,0.866232138,0.931316483,-4.601439395
C15orf58,-0.487324857,73.98851834,-0.111938082,0.910965082,0.95445325,-4.601542573
CASC1,-0.487546493,45.55661725,-0.033766783,0.973090895,0.986014712,-4.601616473
LOC100287227,-0.488434334,5.126949758,-0.857679024,0.391916412,0.602922761,-4.596865152
ICAM5,-0.491193877,21.58286037,-0.102029838,0.918817289,0.958570255,-4.601556328
