Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AKNA,492.4573813,1126.904673,5.048800382,8.74E-07,2.89E-05,-4.451865357
STAB1,491.3707583,1136.256584,3.913097835,0.0001184,0.001935054,-4.50813313
PSMA5,490.6403741,2488.509035,3.686891876,0.000280126,0.003795531,-4.518075997
CAST,490.5574509,4417.774867,1.787354046,0.075128831,0.215054522,-4.581163096
ARPC5,490.2754351,4242.852212,2.709980491,0.00720899,0.043110153,-4.555363677
PSMA6,486.7408198,2698.101199,3.112235927,0.002079375,0.017663865,-4.54117417
PLEK,486.3347936,488.0852462,7.519758006,1.06E-12,1.39E-10,-4.303720583
LOC647979,485.7886823,6172.476259,1.337574405,0.182288077,0.378942888,-4.59009964
FYB,485.1190701,438.4918569,9.050313182,4.77E-17,2.89E-14,-4.203676189
DIAPH1,484.0407022,3790.118816,2.499111808,0.013112771,0.066220911,-4.562110174
NRP1,483.0944574,1622.609568,2.947705737,0.003513754,0.025795442,-4.547182787
VSIG1,479.7630603,373.95622,2.292031488,0.022761172,0.096852137,-4.568254974
TNS4,478.9128413,1412.551739,1.248934992,0.212892885,0.418229111,-4.591567048
TMEM2,477.2842599,2505.972758,1.920833985,0.055924969,0.176817771,-4.578040153
CNBP,476.8902279,6496.633966,1.881174632,0.061146021,0.188045032,-4.578990191
SLMO2,476.4510036,2311.716611,2.556667091,0.011178193,0.059332365,-4.5603172
CD3E,474.1980218,409.2436494,7.70873649,3.26E-13,4.80E-11,-4.291527306
PCNA,472.1545345,3462.917235,1.980768439,0.048746981,0.16145257,-4.576569101
SECTM1,472.0786046,1105.37987,3.06127241,0.002452088,0.019898231,-4.543065125
UBXN4,471.8090158,3546.717297,2.949778406,0.003491091,0.025698397,-4.547108835
NOS2,470.531836,646.4434398,1.798201718,0.073388483,0.211656656,-4.58091724
SLAMF8,470.5158551,520.4610133,7.663946555,4.32E-13,6.03E-11,-4.294423518
KIAA1949,468.7923489,1364.82957,4.602686371,6.73E-06,0.000173577,-4.475141692
CTSK,467.9520622,1471.098236,1.723480751,0.086075964,0.235601386,-4.582582082
ASAH1,467.8063927,3166.141458,2.474474828,0.014028216,0.069195975,-4.562866441
RAB1A,466.1061618,3686.930558,3.012544555,0.002865066,0.022360391,-4.544848221
FNDC1,463.7136399,594.2522488,3.395027987,0.000801557,0.008812808,-4.530207386
IARS,461.3832274,3091.36172,2.160274119,0.031731361,0.12180901,-4.571911232
LPIN2,460.3237953,1374.370157,3.310406897,0.001073415,0.010960378,-4.53357209
GCNT3,460.3080729,1766.692705,1.080025895,0.281203411,0.494601137,-4.594091263
SPCS3,459.9757211,3210.246784,3.243816567,0.001345266,0.012958201,-4.536170349
IL10RA,459.5092078,451.9627762,9.254018264,1.18E-17,8.72E-15,-4.190264983
TNS1,458.9977715,2831.460668,0.619973436,0.535857283,0.721205329,-4.59913381
CFH,458.7141115,913.5792372,3.342525858,0.00096144,0.010140455,-4.53230322
PRDM1,458.6847371,634.8867697,7.280314373,4.62E-12,4.87E-10,-4.319059839
NUB1,456.3407049,1849.838184,5.065487244,8.07E-07,2.68E-05,-4.450968091
C1QBP,454.2364931,2887.805394,1.875998589,0.061856489,0.189519317,-4.579112805
