sample_id,predicted_probability,predicted_label,predicted_binary
SAMba7176afe070,0.03650539583548457,Others,0
SAMae1690469964,0.8305243824278472,HotHigh,1
SAMbe83eae4026e,0.15064515642483367,Others,0
SAMe5bc41772bc9,0.0536947549947165,Others,0
SAM23095936e611,0.035636090192212866,Others,0
SAM7114d99032ec,0.03855812816725394,Others,0
SAMd215b503f99a,0.6378020348496487,HotHigh,1
SAMdb3f50c9129c,0.1916287222294726,Others,0
SAMbf1a3ae828e6,0.8311856468810892,HotHigh,1
SAM52e3fa3ad574,0.9999688419510186,HotHigh,1
SAMd4c0837b0997,0.07217584996384012,Others,0
SAM9cafb905b36a,0.9534221526486354,HotHigh,1
SAM3f2033c90438,0.18211475592122311,Others,0
SAM032c642382a7,0.9524389845030385,HotHigh,1
SAM5ffd7e4cd794,0.9824372252683362,HotHigh,1
SAMb419a8fcbfcd,0.030722046765821222,Others,0
SAM8884fe446d20,0.9698131150856042,HotHigh,1
SAM17c45bf16bb6,0.019712269465714766,Others,0
SAM2070b416069c,0.28073396230794173,Others,0
SAM0ce9c983b20f,0.7114723350989206,HotHigh,1
SAMa1e62d323e1d,0.59519954714757,HotHigh,1
SAM61baf919bb01,0.5130510431071743,HotHigh,1
SAM97a00e0929fb,0.018606976165488117,Others,0
SAM2f228939632f,0.43790413031272524,Others,0
SAM9539a4f19ebc,0.039229424726748244,Others,0
SAM36851bc8b9ae,0.022351677930325192,Others,0
SAM297c0301e861,0.3202078524470617,Others,0
SAM1fa6bcb7fc48,0.883074326993192,HotHigh,1
SAM075e037d95bc,0.020523593267586075,Others,0
SAM6d2ae0c39b96,0.09613314013226483,Others,0
SAMcabb6d58ff55,0.05377765193823072,Others,0
SAM716f54e468f4,0.9314784992589257,HotHigh,1
SAMeff2ce356ccb,0.3726182894902176,Others,0
SAM110501d0eedb,0.3074134334884938,Others,0
SAM2e9ac0b1b250,0.010527394615143789,Others,0
SAMc0ef41aa6c8b,0.023291530338596267,Others,0
SAMd636e3461955,0.36241727284052294,Others,0
SAMe712352fb82a,0.3010247642621653,Others,0
SAM30b5c6c54cf7,0.03493081690369564,Others,0
SAMd98bac0a070f,0.22388103064655837,Others,0
SAM8e8ef2368dfa,0.8027979162724193,HotHigh,1
SAM08cce2fa88f2,0.011698303022488454,Others,0
SAMb4c7a001537d,0.09808227723628608,Others,0
SAMfd947610629d,0.119137489113553,Others,0
SAM943df5cf15df,0.5297996934652657,HotHigh,1
SAM31f41dd0d6ca,0.8606857285132132,HotHigh,1
SAMb3c02294aba7,0.008188578383677382,Others,0
SAM39eb94fa504d,0.09933275241508643,Others,0
SAM62fb1388c871,0.10832183724818947,Others,0
SAMc0da5d48686d,0.08319711583577735,Others,0
SAMe7bcab05402e,0.9999185550012182,HotHigh,1
SAM2570ff4aae6e,0.9151132197523426,HotHigh,1
SAM2dc3f04e45e9,0.9999514883729334,HotHigh,1
SAM9448d858692c,0.8677856522517117,HotHigh,1
SAM4501e41e4751,0.9703883888012256,HotHigh,1
SAM714285adf612,0.9999422133559396,HotHigh,1
SAM5b57e47fdcb3,0.04358945594555643,Others,0
SAMae4da274eded,0.8091124739251884,HotHigh,1
SAMd35318127278,0.6158308345688176,HotHigh,1
SAMa913c6139ec8,0.916752029076012,HotHigh,1
SAM75142fcab9df,0.8308828304079448,HotHigh,1
SAMd697ba701077,0.29068456862718806,Others,0
SAM166a419a4e5a,0.992863040580812,HotHigh,1
SAM025b45c27e05,0.9949644101725422,HotHigh,1
SAMe07c4560772d,0.011835304989323607,Others,0
SAM2dc578e0165f,0.40720143322552893,Others,0
SAM3785587846ce,0.0484999257283349,Others,0
SAM560f23d6a3ad,0.9911511450247412,HotHigh,1
SAM52500cabdd36,0.009457643679120725,Others,0
SAM14df63a65411,0.5996144685946126,HotHigh,1
SAMf3a9bce50099,0.0493345231178065,Others,0
SAMffa5c7cad0e5,0.2502758196026695,Others,0
SAMdab9ca8fb5de,0.8948749732177711,HotHigh,1
SAM34430ef08e5b,0.021234280666498805,Others,0
SAM4b0175e8db6e,0.13901299403101072,Others,0
SAMf28c01545593,0.05630277222632054,Others,0
SAMaec7380f9ab0,0.04450859597309829,Others,0
SAMaf7578d55754,0.5721935266631845,HotHigh,1
SAMbd8ee73983b8,0.08668991123794442,Others,0
SAMe94c30c30616,0.42624760165540493,Others,0
SAM54e58f1b0230,0.014705156560263569,Others,0
SAM5e3bae090b8c,0.30414161219491265,Others,0
SAM3cb94b0d5297,0.0627233041935246,Others,0
SAM61b9d4d84c64,0.9282288285581708,HotHigh,1
SAM8a42c0d59187,0.015895518664471142,Others,0
SAMcb132b0cdd2c,0.22751289580901346,Others,0
SAMe97af0feefdf,0.07918691806202069,Others,0
SAMee3844cc0b9f,0.8605677430268907,HotHigh,1
SAM73b653ae20d1,0.0939217655696053,Others,0
SAMdcae54fcd7fa,0.12193805576009434,Others,0
SAMdad5c29dc105,0.05917599256793602,Others,0
SAMa424c75831b4,0.6986883807849859,HotHigh,1
SAM28687037e4ff,0.999981806607889,HotHigh,1
SAMe50d15fde368,0.03818755349161635,Others,0
SAM45c8e6412c66,0.9999854113638286,HotHigh,1
SAM8533e5e261d6,0.02873216932047354,Others,0
SAMaaf505c36f93,0.02133477679639447,Others,0
SAM73663ee4a96e,0.45213092949301065,Others,0
SAM0bdb3428bd13,0.7110235446896243,HotHigh,1
SAM3330c03fdf00,0.9946919454892718,HotHigh,1
SAM0a7c2091dd56,0.1692299069433764,Others,0
SAM7bff231634e9,0.9315898627054999,HotHigh,1
SAM5d1dfd5207f5,0.1301760600783645,Others,0
SAMeb587a68006b,0.7525504629349516,HotHigh,1
SAM99a46b9eec27,0.9948670212770002,HotHigh,1
SAM1ac4e3dee297,0.031827959515829694,Others,0
SAM553c3c35b847,0.9752529861877666,HotHigh,1
SAM3e04eb914f3d,0.9709555063878967,HotHigh,1
SAMc2a1820d4e6b,0.9423790575795908,HotHigh,1
SAM822b226466a1,0.05241815835545009,Others,0
SAMabc151b01ea3,0.022179115769188455,Others,0
SAMe1eb5d988760,0.9774091944463656,HotHigh,1
SAMe3210d3632b4,0.7649097396176112,HotHigh,1
