sample_id,B2M,C1S,CD74,CFB,CTSS,HLA-A,HLA-B,HLA-C,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-E,IDO1,IFI30,IFITM1,RNF213,SERPING1,SOD2,STAT1,TAP1,label
GSM972330,10.11559329,9.286018222,9.191250375,7.072413822,9.05083806,13.33889599,13.17218934,12.40343803,5.035042888,12.44734613,8.858343508,10.8408605,7.587877751,10.74733717,11.65943154,6.440009405,8.640454434,8.52853638,9.22599858,10.04805842,ColdHigh
GSM972332,10.00281427,9.017856587,6.719273217,6.355231975,7.427598394,11.76501278,10.89545367,10.30311106,5.985135442,9.423760717,7.115997893,10.18721907,5.602607309,10.19552749,12.31131068,5.558915978,7.764992581,7.89418685,7.285632016,8.321897496,ColdLow
GSM972334,10.66609354,10.65922951,8.958039096,6.629951811,9.016362284,13.30934962,13.07003795,12.36087443,6.841240854,12.52925901,9.111090698,11.09766889,11.45414422,11.87516068,12.25562208,6.752851315,9.689365782,9.220093596,10.33210621,10.39414892,HotHigh
GSM972337,10.5220431,9.584985615,8.500576249,7.514947502,9.834454659,13.49854073,13.28353183,12.59636942,8.874688173,12.41197811,8.836122409,11.31686615,10.68287637,11.58826367,11.96623853,7.241889832,8.412911387,8.395424056,10.1436844,10.45739404,HotHigh
GSM972346,10.12153287,6.069466535,6.72800392,6.365048697,7.768362295,12.58720316,11.99300033,11.61358891,3.758909564,6.3274748,5.679618657,10.20301168,4.696476375,9.617919602,10.82537698,5.826902284,6.368920805,7.610291934,7.138461285,8.635416891,ColdLow
GSM972353,10.11272534,8.894219175,7.912625246,6.76396461,8.404433816,13.26825174,13.18903885,12.52303354,5.977607628,11.32042927,8.585491135,10.91389175,8.838845256,10.25122702,12.39452374,6.089234756,8.338685999,8.216321323,10.62275884,10.17109818,ColdHigh
GSM972390,9.799456508,8.430443201,7.538685983,6.129926779,6.658437054,12.36817765,11.74562143,11.41679999,6.294771249,9.197611894,7.830513998,9.840126211,6.133010132,9.392094421,10.95461831,5.788591267,7.991928944,6.360524495,7.24846864,8.14542513,ColdLow
GSM972391,10.05274972,8.375748392,8.375461801,6.642705131,8.661200914,12.93163022,12.14126294,11.9869595,6.623726958,11.40401219,9.207276759,10.55416063,6.431518591,10.5563764,11.79659755,5.858784337,7.376500334,7.838834268,8.415762085,9.930401943,ColdLow
GSM972443,10.20715223,7.116986778,8.683086607,7.151799169,9.579286819,12.96339041,13.00555046,12.25096815,6.290553401,12.25823561,9.129861838,11.03849913,5.490928661,10.53629754,12.33492966,6.221707916,6.727475869,7.083970874,8.579606631,9.876799052,ColdLow
GSM972444,10.36795867,9.475188496,9.540264674,7.287088261,8.299783172,13.42443996,13.19923256,12.68996665,8.298214396,11.71280053,10.06544685,11.42174407,9.068482864,11.08866377,12.42113008,7.767994489,9.936907181,8.280323201,8.79140031,10.80986929,HotHigh
GSM972445,10.70819861,8.36231601,9.098320855,7.406975833,9.27402606,13.01648198,12.37496431,12.09570071,6.611584844,12.29193672,9.15205819,11.34654612,9.803986039,11.26038619,12.872481,8.289395842,9.308728662,8.670209482,9.800353432,11.17562229,ColdHigh
GSM972446,9.792384916,8.228074338,7.51925233,5.986599506,7.687099663,12.41736601,11.73529416,11.12080048,6.860399349,9.967262565,7.825191851,9.678361179,6.556818653,10.80410124,9.919774556,5.718661578,7.935242984,7.557321633,7.454260291,7.484242585,ColdLow
GSM972447,10.04127336,8.884580662,8.130738096,6.245019663,9.220587344,12.87202347,12.34452679,11.92801937,6.887909761,11.2772601,8.250076595,10.27548204,6.814653889,10.32376615,11.6910041,5.867878577,7.710148858,7.837583755,7.808743156,8.663311943,HotLow
GSM972448,9.969658591,7.656394251,6.287398002,5.692238881,5.792621899,12.15194394,10.5708968,10.0824404,4.410079831,8.46516981,6.704542438,9.047155907,5.489961292,8.914187437,8.237239468,5.756263993,6.406450595,7.171880746,7.143492747,5.877830158,ColdLow
GSM972455,10.75719089,9.332422466,8.736450054,6.98888751,9.210691521,13.14139522,12.8873583,12.22414057,8.56792026,12.05732071,9.678342291,10.92670064,8.828086294,10.92349165,12.28404621,6.466358403,8.695692869,8.853603874,8.47714086,9.739718313,HotHigh
GSM972458,10.51157577,8.582167739,9.715787908,6.585819218,9.067535406,13.1544694,12.95998442,12.21327806,9.305853398,13.08847018,9.55646169,11.14690701,8.996968846,11.53174203,12.58387841,7.425861929,8.849037973,8.973152168,9.8194266,10.74348859,HotHigh
GSM972470,10.50079608,9.168166918,9.485044659,5.957201368,9.848670851,13.1815143,12.8841289,12.08721606,9.248972043,13.03025329,10.23177895,11.04043217,10.29157237,12.34091238,12.29391019,6.549835756,9.65693404,8.742576242,10.05119986,10.21780128,HotHigh
GSM972471,10.20393736,8.682505422,7.985975716,7.212372869,9.187807669,13.09132239,12.86301971,12.24881762,6.921170702,12.10053803,9.991462021,10.59120946,6.732545691,10.71121142,11.51763259,5.714496129,7.614454675,7.828290417,8.375460869,8.221042501,ColdLow
GSM972486,10.04522396,9.227617221,7.342599705,6.710175921,9.288518454,12.74036009,12.42609755,11.75113159,5.392445099,9.849020586,7.158609396,10.25592199,5.806859901,8.79664663,12.09988042,5.487139068,8.086789334,6.984954085,7.159692919,8.401291983,ColdLow
GSM972494,10.28976138,8.160144483,8.78280973,6.647911592,8.804213332,13.34899444,12.92286482,12.24293572,6.059139514,11.98923325,9.035535239,10.74633287,8.674529884,10.64681421,12.38188156,6.677897621,9.073817607,7.176699775,8.933403902,10.28397914,HotHigh
GSM972499,10.52409808,7.963121005,8.213851899,6.60460524,9.586040848,12.77834263,12.32577871,11.83383407,8.25932569,12.42208268,10.11326396,10.92817116,10.36637255,10.84158788,12.6545792,6.711288167,9.187622859,9.226367568,10.47522633,10.8487181,ColdHigh
GSM972507,10.25259917,8.439014001,8.595412798,6.485838932,9.517188183,12.53756086,12.18665267,11.7290339,7.722162963,12.30025551,9.006427081,10.55221997,9.871827674,10.6222036,12.24193389,6.434152161,7.199150226,7.12999451,9.377410263,9.290855111,ColdHigh
GSM1681360,10.46590705,9.0582753,7.557015418,6.235047525,10.10378849,13.21756405,12.86842949,12.2504808,7.557924187,10.84095988,8.777718352,10.86645367,6.054186243,10.2122496,10.11737691,5.66716526,7.72885437,6.954811119,7.784829224,8.759460817,HotLow
GSM1681363,10.18382185,8.333610141,7.126202891,6.317712723,10.00002336,13.15852337,13.05651874,12.02573428,6.43512787,10.83914683,8.146432724,10.7878253,6.138681579,9.597762333,10.76816183,5.464386353,6.470781438,7.411603404,7.671602577,8.688130299,ColdLow
